Metric,Noise Type,Seed,Value,Brightness,Gaussian Level
Mean Precision,Poisson-Gaussian,3,0.0396296315,0.1,10.0
Mean Precision,Poisson-Gaussian,4,0.0410818355,0.1,10.0
Mean Precision,Poisson-Gaussian,0,0.0292769665,0.1,15.0
Mean Precision,Poisson-Gaussian,1,0.0304342114,0.1,15.0
Mean Precision,Poisson-Gaussian,2,0.029919224,0.1,15.0
Mean Precision,Poisson-Gaussian,3,0.0329987348,0.1,15.0
Mean Precision,Poisson-Gaussian,4,0.0312747746,0.1,15.0
Mean Precision,Poisson-Gaussian,0,0.0142514372,0.1,22.5
Mean Precision,Poisson-Gaussian,1,0.0119105643,0.1,22.5
Mean Precision,Poisson-Gaussian,2,0.0151704745,0.1,22.5
Mean Precision,Poisson-Gaussian,3,0.0111913153,0.1,22.5
Mean Precision,Poisson-Gaussian,4,0.0099036029,0.1,22.5
Mean Recall,Poisson-Gaussian,0,0.4845470292,0.8,2.5
Mean Recall,Poisson-Gaussian,1,0.480844951,0.8,2.5
Mean Recall,Poisson-Gaussian,2,0.4819490383,0.8,2.5
Mean Recall,Poisson-Gaussian,3,0.4835805491,0.8,2.5
Mean Recall,Poisson-Gaussian,4,0.4763394502,0.8,2.5
Mean Recall,Poisson-Gaussian,0,0.4716563913,0.8,5.0
Mean Recall,Poisson-Gaussian,1,0.4811780674,0.8,5.0
Mean Recall,Poisson-Gaussian,2,0.4784343789,0.8,5.0
Mean Recall,Poisson-Gaussian,3,0.4748260659,0.8,5.0
Mean Recall,Poisson-Gaussian,4,0.4719581954,0.8,5.0
Mean Recall,Poisson-Gaussian,0,0.453502466,0.8,10.0
Mean Recall,Poisson-Gaussian,1,0.4517490989,0.8,10.0
Mean Recall,Poisson-Gaussian,2,0.4534588517,0.8,10.0
Mean Recall,Poisson-Gaussian,3,0.4529904789,0.8,10.0
Mean Recall,Poisson-Gaussian,4,0.4526182558,0.8,10.0
Mean Recall,Poisson-Gaussian,0,0.4183724241,0.8,15.0
Mean Recall,Poisson-Gaussian,1,0.4137530472,0.8,15.0
Mean Recall,Poisson-Gaussian,2,0.4249378067,0.8,15.0
Mean Recall,Poisson-Gaussian,3,0.4179242766,0.8,15.0
Mean Recall,Poisson-Gaussian,4,0.4245243737,0.8,15.0
Mean Recall,Poisson-Gaussian,0,0.3602486418,0.8,22.5
